"term","odds_ratio","std.error","statistic","p.value","conf_low","conf_high"
"(Intercept)",0.000955561013901929,0.0714295929003017,-97.3435750999905,0,0.000830456024954238,0.00109880625650234
"smooth_process_score",0.274160500352433,0.0443508810420138,-29.1773589605479,3.75811999610755e-187,0.251317529126094,0.299038674018123
"overall_experience_score",1.70349846190697,0.0842904915258791,6.31962212550673,2.62203662893242e-10,1.44412547776567,2.00957569325619
"ease_of_online_booking",1.59797730507595,0.0141415401555923,33.1462231133102,6.41940744751471e-241,1.55432561438776,1.64292251480888
"online_boarding",1.42949263971166,0.0135099105921393,26.4487008611146,3.77648188277589e-154,1.39215466497649,1.46786897805146
"checkin_service",1.63598713553785,0.0110522335278359,44.5381807710367,0,1.60096386348695,1.67184973169134
"gate_location",1.40915420237285,0.0127913128885067,26.8142661289467,2.20317444781107e-158,1.37428934462943,1.44495594406615
"baggage_handling",1.35597802027626,0.0127824532364997,23.8235160744795,1.90590850185261e-125,1.32244594387993,1.39039833701595
"seat_comfort",1.23269458581795,0.0146209688561986,14.3083878702226,1.93957532880858e-46,1.19788862229276,1.26855037786147
"food_and_drink",0.764350156731201,0.0146974106515531,-18.2841237041373,1.10728756680179e-74,0.742632447492296,0.786674983572633
"inflight_wifi_service",0.850702192582351,0.0138428454925601,-11.6806303808294,1.60103746614735e-31,0.827921436660011,0.874089148075543
"inflight_entertainment",1.91989299944079,0.0138757048269583,47.0080232437321,0,1.86843787920386,1.97288222482609
"online_support",1.03944948464896,0.0137563694123312,2.81260484936825,0.00491419994189039,1.01179372078229,1.0678526069503
"on_board_service",1.27447065181908,0.015186174479946,15.9705077587367,2.05109371780072e-57,1.23710598688354,1.312987038743
"leg_room_service",1.18555954260127,0.0135595217106463,12.5531604007111,3.81955248149802e-36,1.1544688631748,1.21749294678959
"departure_delay_capped",1.00289482523837,0.000869244463316118,3.32546645103017,0.000882707226217998,1.00118779270107,1.00460511398042
"arrival_delay_capped",0.990653664917747,0.000858911695205591,-10.9327724758904,8.03551487119475e-28,0.98898656530767,0.992322053979597
"age",0.991223994782156,0.000617175268732623,-14.282395286865,2.81748341042529e-46,0.990025017718358,0.992423111390407
"flight_distance",0.999823149596133,9.37491816875999e-06,-18.8658760066059,2.17634597936204e-79,0.999804770598277,0.999841513894845
"customer_typeLoyal Customer",6.37801272101162,0.0273866043731224,67.6555785396493,0,6.04517668682828,6.73027813301433
"type_of_travelPersonal Travel",0.467506744942471,0.0255339051381862,-29.7777209775854,7.59191129361126e-195,0.444675909352783,0.491488600001911
"classEco",0.491140934140786,0.023307906583167,-30.5057065046677,2.18915904629179e-204,0.469198771720309,0.514087504705853
"classEco Plus",0.474714076936244,0.0357946471087105,-20.814358002119,3.20813568511077e-96,0.442531958329981,0.509193623965642
