"variable","missing_count","missing_percentage"
"satisfaction",0,0
"customer_type",0,0
"age",0,0
"type_of_travel",0,0
"class",0,0
"flight_distance",0,0
"seat_comfort",0,0
"departure_arrival_time_convenient",0,0
"food_and_drink",0,0
"gate_location",0,0
"inflight_wifi_service",0,0
"inflight_entertainment",0,0
"online_support",0,0
"ease_of_online_booking",0,0
"on_board_service",0,0
"leg_room_service",0,0
"baggage_handling",0,0
"checkin_service",0,0
"cleanliness",0,0
"online_boarding",0,0
"departure_delay_in_minutes",0,0
"arrival_delay_in_minutes",393,0.3
